Location,Author,Rating,Review Text,Time
Bank Jateng Cabang Pembantu Nguter Sukoharjo,ayu rahayu,5 bintang,Bagus pelayanan mantap,9 bulan lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Budhe Kasmi,5 bintang,Kantornya baru. Prosesnya cepat.karyawan ramah,9 bulan lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,bellafatma linasantoso,2 bintang,"Tellernya cuma 1 , sbnernya tdk terlalu ramai yaa tapi lamaaaaaaaaaaaa bgtt pelayanannnya🥲",11 bulan lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Muchammad Idris,5 bintang,"Kantor baru, parkir luas, cs dan teller baik dan memberikan informasi. Sering info kalau ada promo",1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Hartini Tini,5 bintang,Kantor baru. Parkir luas .pelayanan baik,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,sutrisno thebrother,5 bintang,Kantor pelayanan cepat sipp,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Padmiyati,5 bintang,"Kantor baru parkir luas, ac juga dingin, pelayanan bagus",1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Rico Sandos,5 bintang,"Tempatny baru, luas dan bersih ✅
Pelayanan top semua ✅
CS nya (mba Niki) ramah baik ✅",1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,rini rahmawati,5 bintang,"Gedung baru, parkir luas, pelayanan memuaskan, tempatnya nyaman",1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,yuli anto,5 bintang,Kantor baru bersih.ac dingin.parkir luas. CS mba niki memberikan informasi bank banyak sangat membantu. Karyawan lain juga kenal baik & ramah,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,endri lestari,5 bintang,"Kantornya baru bagus, nyaman. Teller dan cs cantik. Memberikan informasi banyak tentang produk jadi tertarik",1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Grace Tabita Ayu Pramesti,5 bintang,Dilayani sangat ramah dan informatif mbak mbak nya enak banget diajak ngobrol…,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,rinda setia,1 bintang,Pelayanan sangat lambat .. Sudah beberapa kali terpaksa pulang karena menunggu lama. Hari ini Tidak ada antrian tp hampir 1 jam baru dilayani. Itu pun tidak ada hasil. Mohon maaf saya beri bintang 1 karena beberapa X dpt  pengalaman buruk dlm pelayanan,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Coconut,1 bintang,Proses perkreditan lbh berbelit dari pd bank jateng lain. Kalo ingin maju perlu dirombak total formasi pegawai nya,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Teguh Budi Santoso,5 bintang,"Tempat parkiran luas
Tempat untuk menunggu antrian nyaman dan dingin
Satpam cepat tanggap
Pelayanan sangat ok",1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Dita Auliya,5 bintang,🫶🏻,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,mega alfiah,5 bintang,"Pelayanan baik , 🥰",1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,yenni rohmawati,1 bintang,Teller lemot. Pelayanan sangat buruk.,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Johari Wahyudhi / Joe James Bon,5 bintang,Bank nya wong jawa tengah... Sekarang pindah lokasi baru,1 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,NickyOlalla,5 bintang,Pelayanan baik,2 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Tito Arsakly,5 bintang,Atmnya bekerja baik,4 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Wiyana Aja,3 bintang,Informasi cukup detail,7 tahun lalu
Bank Jateng Cabang Pembantu Nguter Sukoharjo,Muhammad Arif Nurrohim,4 bintang,Bank JATENG Nguter,7 tahun lalu
