Location,Author,Rating,Review Text,Time
Bank Jateng KC Surakarta,whisnu djaya,5 bintang,"Hari sabtu tetap buka, pelayanan ramah tempat bersih, dingin dan nyaman.. walaupun ramai namun tetap betah. Terima kasih Bank Jateng... Tingkatkan selalu pelayanan terbaik bagi nasabah...",4 hari lalu
Bank Jateng KC Surakarta,Yuniana Cahyaningrum,3 bintang,Bank BPD disini nyaman banget gaes. Selain adem AC nya di ATM juga tempat buat parkir cukup teduh buat sepeda motor. Disini juga dihiasi payung-payung yang membuat semakin teduh dengan tempat parkir pun dihiasi tanaman buatan hias yang …,2 tahun lalu
Bank Jateng KC Surakarta,ajisetio utomo,1 bintang,"Antri CS
27 feb 2025 sejak pukul 12.15...2 jam habis percuma buat nunggu giliran...",seminggu lalu
Bank Jateng KC Surakarta,Bernarditio,5 bintang,"Kesini buat rekening baru , satpam ramah meskipun baru cukup ramai ( padahal saya pakai celana pendek juga sandal *terkait ulasan selain saya).
Pelayanan pembuatan rekening baru gak sampai 15 menit an , customer servicenya …",2 tahun lalu
Bank Jateng KC Surakarta,Christine Nadia Tasya,5 bintang,"Pertama kali datang kesini langsung disambut sama satpamnya yang super ramah, pelayanan cepat dan profesional. Terimakasih Bank Jateng Surakarta",2 minggu lalu
Bank Jateng KC Surakarta,anton surya,5 bintang,"Pelayanannya terbaik deh memang, kalo nyimpan uang di bank daerah milik pemerintah gini rasanya tenang.",4 bulan lalu
Bank Jateng KC Surakarta,ivan kristianto,3 bintang,"Sedikit kecewa sama pelayanan hari senin 12 Agustus kemarin.
hari senin+awal bulan , kenapa teller hanya dibuka 2 ajaa
Antri dari pagi siang baru dipanggil (karena ramai tapi cuma open 2teller) …",6 bulan lalu
Bank Jateng KC Surakarta,Melisa Ventina,2 bintang,untuk tingkat cabang koordinator pelayanan sangat lama mungkin bisa dipertimbangkan membuka semua loket agar mengurangi waktu tunggu. 1 jam masih ada 6 antrean lagi sangat konyol 🙏 …,2 tahun lalu
Bank Jateng KC Surakarta,Dody Suranto,1 bintang,"Males ke bank ini lg..
merasa dipermainkan disuruh bolak balik, mau pelunasan saja dipersulit. Pelayanan bagian kredit sangat buruk, 2 petugas laki-laki lupa namanya tidak ramah, tidak punya attitut dan tidak profesional bekerja melayani nasabah.",6 bulan lalu
Bank Jateng KC Surakarta,Stela Dea888,5 bintang,"Pelayanannya sangat bagus, sangat membantu sekali,dan ramah2 sekali csr,satpam dan teller2nya, terima kasih Bank Jateng surakarta",4 bulan lalu
Bank Jateng KC Surakarta,Sarai Nadia,1 bintang,"Pelayanan satpam buruk ..
Tau ada yang antri didepan bukannya dipanggilin tapi diem aja giliran diprotes baru dipanggilin .. …",2 tahun lalu
Bank Jateng KC Surakarta,Rusiana Lie,1 bintang,"Sangat mempersulit nasabah, pelayanan teller Bad attitude, kapok jadi nasabah di bank Jateng !!! Kapok pakai jasa Bank Jateng👎🏻 …",8 bulan lalu
