Location,Author,Rating,Review Text,Time
KK Solo UNS Bank Mandiri,Hana Anisa,5 bintang,"Mandiri cabang UNS bintang 5 deh. Cabang favorit karena dekat dengan kantorku.

Lokasinya di dalam gedung Ki Hajar Dewantara UNS lantai 1. Tempatnya bersih, …",6 bulan lalu
KK Solo UNS Bank Mandiri,Mochammad Afghani Burhanuddin,5 bintang,"resp cepat pihak bank terkait dengan kebutuhan nasabah, terima kasih KCP UNS. semoga selalu bertumbuh makin baik",3 minggu lalu
KK Solo UNS Bank Mandiri,Trisna Setya,5 bintang,"Pelayanan dan prosesnya cepat dan sangat baik, staff ramah dan kantornya sangat nyaman.",7 bulan lalu
KK Solo UNS Bank Mandiri,Ria Raudhatul Fariha,5 bintang,"Pelayanan ramah banget dan sangat membantu mulai dari satpam, cs sampai teller. Ganti kartu ada pilihan lewat mesin atau cs, cuma kemarin punya saya lagi habis yang di mesin jadinya lewat cs tapi tetap cepat 👍 …",7 bulan lalu
KK Solo UNS Bank Mandiri,Afiyanta Rizal Pratama,5 bintang,"Ngantri di bank mandiri skg lbh nyaman bgt, kantornya new look, cs tellerny ramah, sekuritinya helpfull. Antri ke bank skg bisa daftar online pake livin, jd ga perlu nunggu lama2 kyk dulu. Makasih bank mandiri 🙏🏻 …",7 bulan lalu
KK Solo UNS Bank Mandiri,Exafikli Ababil Hafizhentra,5 bintang,Review pribadi pelayanan disini bagus banget. Tempatnya nyaman dan petugasnya profesional melayani dengan cepat dan tepat.,2 minggu lalu
KK Solo UNS Bank Mandiri,Fransisca Silvia Lapia,5 bintang,"Pelayanan ramah dan lumayan cepat. Lebih diperhatikan untuk penginputan slip karena record di rekening koran beberapa menjadi salah keterangan
Tempat bersih dan nyaman …",9 bulan lalu
KK Solo UNS Bank Mandiri,Noor Kalimatul Misbah,5 bintang,"Pelayanannya sangat baik, staff dan penjaga keamanannya pun sangat ramah dan helpfuk",2 minggu lalu
KK Solo UNS Bank Mandiri,Nila Kintaningtyas,5 bintang,"Sering banget kesini buat pembayaran UKT kuliah atau ngurus livin yang ada problem, semua pihak sangat membantu dan ramah (satpam, teller, dll), ruangannya juga cozy banget buat nunggu kalo lagi rame, pelayanannya juga cepet banget!",7 bulan lalu
KK Solo UNS Bank Mandiri,Fatma Nur Saidah,5 bintang,pelayanan ramah dan memuaskan 😇 …,2 minggu lalu
KK Solo UNS Bank Mandiri,Rizki Surya,5 bintang,Sangat membantu dan komunikatif. Plus memperlakukan semua orang dengan baik tanpa melihat penampilan orang tersebut (saya buluk),2 minggu lalu
KK Solo UNS Bank Mandiri,Popo Chanel Purnama,5 bintang,Pelayanan oke sih. Cuman ruang teller tll kecil,7 bulan lalu
KK Solo UNS Bank Mandiri,Tri Untoro,5 bintang,"Bagus,nyaman,ganti kartu atm hilang,exipired,rusak bisa lewat mesin CSM langsung jadi,cepat pelayanannya",7 bulan lalu
KK Solo UNS Bank Mandiri,aditya anggi franjaya,5 bintang,Cabangnya sudah digital kak jadi ganti kartu lebih cepat gakusah ngisi formulir lagi dan cs nya sudah pakai tab gak perlu bawa buku juga,9 bulan lalu
KK Solo UNS Bank Mandiri,Romadhon Hr,5 bintang,"Tempat parkirnya luas dan tempatnya aman karena terang juga diawasi cctv 24 jam dan ada security jaga yang sering berpatroli, untuk kebersihan selalu dijaga agar pengunjung nyaman dalam melakukan kegiatan transaksi di bank, Tempat atm …",3 tahun lalu
KK Solo UNS Bank Mandiri,Siti Nur,5 bintang,"Untuk pelayanan sangat memuaskan, staffnya ramah, dan proses pengatian atm bisa lewat mesin dan sangat cepat",7 bulan lalu
KK Solo UNS Bank Mandiri,Camila yul22,5 bintang,"Pelayanan oke, cepat, sangat membantu nasabah baru. Terimakasii",3 minggu lalu
